"Asutuse registrikood";"Asutuse nimi";"Avaldusel märgitud asutuse maakond";"Tegevusala";"Tegevusala (EMTAK 2)";"Tegevusala (EMTAK 2 kood)";"Hüvitise saajate arv";"Sh hüvitise saajad, kes saanud hüvitist ühe kuu eest";"Sh hüvitise saajad, kes saanud hüvitist kahe kuu eest";"Sh hüvitise saajad, kes saanud hüvitist kolme kuu eest";"Hüvitiste brutosumma EUR";"Hüvitiste kogukulu EUR"
11708392;"Widex Eesti OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;120;15;105;0;174459,72;233427,09
12560543;"Nurme Production OÜ";"Lääne maakond";"TÖÖTLEV TÖÖSTUS";"Rõivatootmine";14;164;15;149;0;174154,5;233018,71
10000018;"Amserv Auto Aktsiaselts";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;183;183;0;0;173195,8;231735,98
10324057;"Aktsiaselts Datel";"Harju maakond";"INFO JA SIDE";"Programmeerimine, konsultatsioonid jms tegevused";62;90;1;89;0;172943,81;231398,82
10450980;"OÜ PMT";"Järva maakond";"TÖÖTLEV TÖÖSTUS";"Mujal liigitamata masinate ja seadmete tootmine";28;72;1;2;69;169575,26;226891,7
10842489;"OÜ Print Best";"Viljandi maakond";"TÖÖTLEV TÖÖSTUS";"Trükindus ja salvestiste paljundus";18;77;5;6;66;169240,6;226443,93
10393880;"Aktsiaselts Scanweld";"Harju maakond";"EHITUS";"Eriehitustööd";43;73;2;15;56;169136,99;226305,3
10412838;"osaühing Starmaker";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;93;4;16;73;168633,1;225631,1
12318531;"AS Saku Metall Allhanke Tehas";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Metalltoodete tootmine, v.a masinad ja seadmed";25;123;73;50;0;168589,95;225573,37
10058222;"osaühing NITTIS";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;120;6;114;0;168291,36;225173,8
10165452;"Aktsiaselts Stokker";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;88;4;84;0;167439,49;224034,02
10235129;"Aktsiaselts Neiser Group";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Mööblitootmine";31;101;2;99;0;167201,54;223715,68
10037205;"Aktsiaselts MeP Trans";"Harju maakond";"VEONDUS JA LAONDUS";"Laondus ja veondust abistavad tegevusalad";52;115;4;111;0;165466,28;221393,86
10283692;"Auto-Bon AC Aktsiaselts";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;106;48;58;0;162876,52;217928,77
10463965;"Astlanda Hotelli Aktsiaselts";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;92;22;5;65;162507,47;217434,92
11199045;"Klick Eesti AS";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;124;1;123;0;161369,96;215912,9
11149337;"Osaühing Nordic Hotels";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;88;19;8;61;160683,06;214993,92
10713936;"Osaühing TNC-Components";"Ida-Viru maakond";"TÖÖTLEV TÖÖSTUS";"Mööblitootmine";31;119;0;119;0;160428,51;214653,25
10078210;"AS SAMI";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Mujal liigitamata masinate ja seadmete tootmine";28;89;2;87;0;159591,04;213532,78
12066435;"MAST Europe OÜ";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Metallitootmine";24;71;1;11;59;157965,44;211357,77
10176450;"Aktsiaselts EESTI ENERGOMONTAAŽ";"Ida-Viru maakond";"EHITUS";"Rajatiste ehitus";42;129;72;57;0;156418,36;209287,79
10156536;"FLEXA EESTI AKTSIASELTS";"Lääne-Viru maakond";"TÖÖTLEV TÖÖSTUS";"Mööblitootmine";31;207;207;0;0;155301,34;207793,24
12130481;"Compass Group FS Estonia OÜ";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Toiduainete tootmine";10;72;0;3;69;154286,51;206435,31
10146035;"Osaühing ARGMAR GRUPP";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;77;8;13;56;153613,26;205534,51
10471829;"AS MO-Puit Jõgeva";"Jõgeva maakond";"TÖÖTLEV TÖÖSTUS";"Puidutöötlemine ning puit- ja korktoodete tootmine, v.a mööbel; õlest ja punumismaterjalist toodete tootmine";16;99;21;5;73;153507,63;205393,08
11512111;"Trimtex Baltic OÜ";"Pärnu maakond";"TÖÖTLEV TÖÖSTUS";"Rõivatootmine";14;84;2;41;41;153313,05;205132,77
